Codigo,Nome,Indice,Total,Subnormais
4104253,Campo Magro,0.977590585,  24 811 ,   556 
4105805,Colombo,0.977540409,  212 515 ,  4 773 
4106902,Curitiba,0.9067639, 1 744 807 ,  162 679 
4108304,Foz do Iguaçu,0.97487242,  254 939 ,  6 406 
4111258,Itaperuçu,0.933235541,  23 860 ,  1 593 
4112702,Jataizinho,0.963751584,  11 835 ,   429 
4118204,Paranaguá,0.892757909,  140 001 ,  15 014 
4119905,Ponta Grossa,0.957715877,  310 211 ,  13 117 
4128104,Umuarama,0.997158949,  100 315 ,   285 
4202008,Balneário Camboriú,0.997702176,  107 493 ,   247 
4202107,Barra Velha,0.974886969,  22 339 ,   561 
4202404,Blumenau,0.924747379,  307 378 ,  23 131 
4202800,Braço do Norte,0.966736828,  28 981 ,   964 
4205407,Florianópolis,0.958040739,  418 811 ,  17 573 
4205902,Gaspar,0.894260341,  57 878 ,  6 120 
4208203,Itajaí,0.983475911,  182 824 ,  3 021 
4209102,Joinville,0.985970561,  513 064 ,  7 198 
4209409,Laguna,0.910602911,  51 467 ,  4 601 
4211306,Navegantes,0.984074484,  60 469 ,   963 
4211900,Palhoça,0.962441555,  136 880 ,  5 141 
4216602,São José,0.991868791,  209 071 ,  1 700 
4217006,São Ludgero,0.97552543,  10 991 ,   269 
4217907,Tangará,0.958799769,  8 665 ,   357 
4218707,Tubarão,0.95987005,  96 960 ,  3 891 
4300604,Alvorada,0.994842084,  195 040 ,  1 006 
4302105,Bento Gonçalves,0.933559201,  106 847 ,  7 099 
4303103,Cachoeirinha,0.997874142,  118 070 ,   251 
4303509,Camaquã,0.958331326,  62 277 ,  2 595 
4304606,Canoas,0.978751985,  323 089 ,  6 865 
4305108,Caxias do Sul,0.935133903,  434 233 ,  28 167 
4306056,Cristal,0.911401099,  7 280 ,   645 
4306767,Eldorado do Sul,0.951834996,  34 278 ,  1 651 
4307609,Estância Velha,0.993528041,  42 491 ,   275 
4309209,Gravataí,0.995093698,  255 182 ,  1 252 
4309308,Guaíba,0.969697607,  95 042 ,  2 880 
4312401,Montenegro,0.972847513,  58 595 ,  1 591 
4313409,Novo Hamburgo,0.907333619,  237 918 ,  22 047 
4313656,Palmares do Sul,0.98091847,  10 953 ,   209 
4314100,Passo Fundo,0.98677106,  183 537 ,  2 428 
4314407,Pelotas,0.990161779,  326 990 ,  3 217 
4314803,Portão,0.946745177,  30 739 ,  1 637 
4314902,Porto Alegre,0.862068694, 1 398 109 ,  192 843 
4315602,Rio Grande,0.975063439,  195 857 ,  4 884 
4318705,São Leopoldo,0.968600846,  213 286 ,  6 697 
4321105,Tapes,0.962347129,  16 599 ,   625 
4321600,Tramandaí,0.882130195,  41 461 ,  4 887 
4323002,Viamão,0.984078561,  237 981 ,  3 789 
5002704,Campo Grande,0.998105102,  782 100 ,  1 482 
5003207,Corumbá,0.943995028,  102 973 ,  5 767 
5103403,Cuiabá,0.906837432,  548 042 ,  51 057 
5108402,Várzea Grande,0.97651903,  252 332 ,  5 925 
5201108,Anápolis,0.994569078,  333 645 ,  1 812 
5208707,Goiânia,0.99731233, 1 300 383 ,  3 495 
5215231,Novo Gama,0.983085101,  95 005 ,  1 607 
5221858,Valparaíso de Goiás,0.985625866,  132 808 ,  1 909 
